nctid	race	count
NCT00102440	white	587.0
NCT00102518	black or african american	38.0
NCT00102518	white	206.0
NCT00102531	black or african american	2.0
NCT00102531	white	13.0
NCT00102687	black or african american	6.0
NCT00102804	african	6.0
NCT00103285	black or african american	326.0
NCT00103285	white	4046.0
NCT00103402	black or african american	36.0
NCT00103402	white	185.0
NCT00103610	african-american	7.0
NCT00103662	african-american	32.0
NCT00103844	black or african american	3.0
NCT00103844	white	130.0
NCT00103857	black	85.0
NCT00103857	white	608.0
NCT00104104	black	22.0
NCT00104234	black	3.0
NCT00104234	white, non-hispanic	24.0
NCT00104416	african american/african heritage	3.0
NCT00104416	american indian or alaskan native and white	2.0
NCT00104416	asian and white	1.0
NCT00104416	white	75.0
NCT00104650	black or african american	1.0
NCT00104650	white or caucasian	63.0
NCT00104858	black or african american	0.0
NCT00104858	white	51.0
NCT00105157	black	20.0
NCT00105157	white	136.0
NCT00105196	black or african american	32.0
NCT00105196	white	304.0
NCT00105989	african	3.0
NCT00106080	white	172.3
NCT00106392	black or african american	5.0
NCT00106392	white	118.0
NCT00106626	black	3.0
NCT00106626	white	44.0
NCT00106704	black	22.0
NCT00106704	white	276.0
NCT00107042	black or african american	34.0
NCT00107042	white	9.0
NCT00107380	black or african american	1.0
NCT00107380	white	78.0
NCT00107536	black or african american	4.0
NCT00107536	white	20.0
NCT00107744	black or african american	121.0
NCT00107744	white	231.0
NCT00107900	black or african american	19.0
NCT00107900	white	578.0
NCT00107952	black or african american	24.0
NCT00107952	white	539.0
NCT00107978	black or african american	143.0
NCT00107978	white	679.0
NCT00107991	black or african american	3.0
NCT00107991	white	12.0
NCT00108069	black or african american	0.0
NCT00108069	white	38.0
NCT00108082	african american/african heritage	60.0
NCT00108082	arabic/north african heritage	2.0
NCT00108082	white/caucasian	206.0
NCT00108277	white	48.0
NCT00108303	black or african american	121.0
NCT00108303	white	181.0
NCT00109005	black or african american	0.0
NCT00109005	white	16.0
NCT00109031	black or african american	4.0
NCT00109031	white or caucasian	41.0
NCT00109343	black	155.0
NCT00109343	white	670.0
NCT00109928	black or african american	4.0
NCT00109928	white	28.0
NCT00110266	black	4.0
NCT00110357	black or african american	7.0
NCT00110357	white	35.0
NCT00110461	black or african american	65.0
NCT00110461	white	193.0
NCT00110617	black	195.0
NCT00110890	black	16.0
NCT00110890	white	521.0
NCT00111475	black	3.0
NCT00111475	white	36.0
NCT00111761	black or african american	7.0
NCT00111761	white or caucasian	31.0
NCT00111800	black or african american	20.0
NCT00111800	white	340.0
NCT00112047	black	116.0
NCT00112047	white	298.0
NCT00112125	black or african american	81.0
NCT00112125	white	296.0
NCT00112294	black	49.0
NCT00112294	white	596.0
NCT00112463	black or african american	5.0
NCT00112463	white	32.0
NCT00112580	white	26.0
NCT00112827	african american	8.0
NCT00112918	black or african american	33.0
NCT00112918	white	2399.0
NCT00112957	black or african american	0.0
NCT00112957	white	23.0
NCT00113087	black/african-american	32.0
NCT00113087	white	185.0
NCT00113269	black	100.0
NCT00113269	white	354.0
NCT00113295	black or african american	4.0
NCT00113295	white	18.0
NCT00113425	black / african american	3.0
NCT00113490	white/non-hispanic	11.0
NCT00113763	black or african american	1.0
NCT00113763	white or caucasian	457.0
NCT00114114	black or african american	8.0
NCT00114114	white	165.0
NCT00114127	black	2.0
NCT00114517	black, non-hispanic	52.0
NCT00114517	white, non-hispanic	415.0
NCT00114530	black or african american	6.0
NCT00114530	white	60.0
NCT00115037	black or african american	85.0
NCT00115037	white	214.0
NCT00115297	black or african american	0.0
NCT00115297	white	62.0
NCT00115765	black or african american	110.0
NCT00115765	white or caucasian	844.0
NCT00116142	black or african american	9.0
NCT00116142	white	271.0
NCT00116272	black	17.0
NCT00116272	non-hispanic white	430.0
NCT00116337	black or african american	2.0
NCT00116428	white	164.0
NCT00116649	black or african american	0.0
NCT00116649	white	551.0
NCT00116688	black or african american	16.0
NCT00116688	white or caucasian	259.0
NCT00116753	black or african american	32.0
NCT00116753	white	408.0
NCT00116779	black or african american	18.0
NCT00116779	white	107.0
NCT00116831	black	11.0
NCT00116831	white	495.0
NCT00116844	black or african american	19.0
NCT00116844	white	47.0
NCT00117143	black	1.0
NCT00117143	white	15.0
NCT00117286	black or african american	7.0
NCT00117286	white	49.0
NCT00117325	black or african american	10.0
NCT00117325	white	332.0
NCT00117338	black	34.0
NCT00117338	white (non-hispanic)	32.0
NCT00117637	white	143.0
NCT00117676	black or african american	12.0
NCT00117676	white	242.0
NCT00117715	black or african american	58.0
NCT00117715	white	46.0
NCT00117806	african american	66.0
NCT00117806	white	70.0
NCT00117949	black	6.0
NCT00118040	black or african american	0.0
NCT00118040	white	60.0
NCT00118209	black or african american	60.0
NCT00118209	white	385.0
NCT00118287	black or african american	1.0
NCT00118287	white	30.0
NCT00118430	black or african american	191.0
NCT00118430	white	291.0
NCT00118703	black or african american	13.0
NCT00118703	white	331.0
NCT00118716	arabic/north african	3.0
NCT00118716	black	55.0
NCT00118716	white/caucasian	162.0
NCT00118742	black	19.0
NCT00118742	white	251.0
NCT00118898	black non-hispanic	615.0
NCT00118898	white non-hispanic	746.0
NCT00119392	black or african american	0.0
NCT00119392	white	40.0
NCT00119678	black/african american	16.0
NCT00119678	white	113.0
NCT00119847	black or african american	7.0
NCT00119847	white	232.0
NCT00120627	black or african american	36.0
NCT00120627	white	85.0
NCT00120874	white, not of hispanic-american origin	18.0
NCT00121108	white mountain apache	305.0
NCT00121173	black or african american	3.0
NCT00121173	white	9.0
NCT00121199	black or african american	6.0
NCT00121199	white	54.0
NCT00121251	black or african american	1.0
NCT00121251	white	14.0
NCT00121485	black or african american	40.0
NCT00121485	white	149.0
NCT00121641	black/african american	22.0
NCT00121641	white	341.0
NCT00121667	black / african american	40.0
NCT00121667	white	606.0
NCT00122317	black	7.0
NCT00122447	black or african american	49.0
NCT00122447	white	21.0
NCT00122954	black or african american	0.0
NCT00122954	white	39.0
NCT00123162	black or african american	0.0
NCT00123162	white	25.0
NCT00123409	black or african american	63.0
NCT00123409	white	76.0
NCT00123487	black or african american	35.0
NCT00123487	white	471.0
NCT00123682	black or african american	575.0
NCT00123682	white	1779.0
NCT00124449	black	4.0
NCT00124449	white	48.0
NCT00124514	black or african american	9.0
NCT00124514	white	19.0
NCT00124943	black, of african heritage	4.0
NCT00124943	white, hispanic or latino	12.0
NCT00124943	white, non-hispanic and non-latino	96.0
NCT00125164	black	2.0
NCT00125164	white	117.0
NCT00125190	black	1.0
NCT00125190	white	31.0
NCT00125762	black or african american	0.0
NCT00125762	white	586.0
NCT00126555	black or african american	1.0
NCT00126555	white	21.0
NCT00126737	non-white	11.0
NCT00126737	white	99.0
NCT00127166	black	18.0
NCT00127166	white	79.0
NCT00127205	black or african american	332.0
NCT00127205	white	5325.0
NCT00127231	black or african american	127.0
NCT00127231	white	19.0
NCT00127413	black or african american	13.0
NCT00127413	white	25.0
NCT00127530	black	13.0
NCT00127842	black	1.0
NCT00128401	black or african american	10.0
NCT00128401	white	24.0
NCT00128713	black or african american	130.0
NCT00128713	white	1114.0
NCT00128830	black or african american	24.0
NCT00128830	white	164.0
NCT00129272	black : hispanic	0.0
NCT00129272	black : non-hispanic	19.0
NCT00129272	white : hispanic	0.0
NCT00129272	white : non-hispanic	103.0
NCT00129376	black or african american	0.0
NCT00129376	white	63.0
NCT00129467	black or african american	1.0
NCT00129467	white	31.0
NCT00129480	black	7.0
NCT00129480	white	357.0
NCT00129545	black/african american	14.0
NCT00129740	black or african american	10.0
NCT00129740	white	134.0
NCT00129987	black or african american	46.0
NCT00129987	white	404.0
NCT00130208	black or african american	67.0
NCT00130208	white	891.0
NCT00130286	black or african american	24.0
NCT00130286	white	49.0
NCT00130533	black	27.0
NCT00130793	black	34.0
NCT00130793	white	250.0
NCT00130832	black	17.0
NCT00130832	white	78.0
NCT00131352	black	8.0
NCT00132028	black or african american	3.0
NCT00132028	white	20.0
NCT00132041	black or african american	4.0
NCT00132041	white	31.0
NCT00132301	black or african american	74.0
NCT00132301	white	207.0
NCT00132496	black or african american	5.0
NCT00132496	white	100.0
NCT00132691	black	66.0
NCT00132691	white	142.0
NCT00133809	black or african american	0.0
NCT00133809	white	8.0
NCT00133952	african descent	33.0
NCT00134043	black or african american	2.0
NCT00134043	white	16.0
NCT00134056	black	137.0
NCT00134056	white	806.0
NCT00135356	black/african american	25.0
NCT00135356	white	126.0
NCT00135512	black or african american	0.0
NCT00135512	white	0.0
NCT00135694	black or african american	29.0
NCT00135694	white	236.0
NCT00135707	black	2563.0
NCT00136214	black or african american	3.0
NCT00136214	white	19.0
NCT00136838	black or african american	6.0
NCT00136838	white	6.0
NCT00137280	black or african american	355.0
NCT00137280	white	355.0
NCT00137839	black or african american	2.0
NCT00137839	white	78.0
NCT00138294	black or african american	2335.0
NCT00138294	white	24699.0
NCT00138658	black or african american	1.0
NCT00138658	white	72.0
NCT00141921	black or african american	10.0
NCT00141921	white or caucasian	138.0
NCT00142415	black or african american	0.0
NCT00142415	white	26.0
NCT00142454	black or african american	0.0
NCT00142454	white	8.0
NCT00142519	black or african american	2.0
NCT00142519	white	46.0
NCT00142792	black or african american	32.0
NCT00142792	white	87.0
NCT00142909	african american	3.0
NCT00143598	white ethnic origin	725.0
NCT00144027	black or african american	45.0
NCT00144027	white	23.0
NCT00144300	black	10.0
NCT00144300	white	234.0
NCT00144781	black	1.0
NCT00145626	black	4.0
NCT00145626	white	8.0
NCT00146757	black	1.0
NCT00146770	black	0.0
NCT00147745	black or african american	9.0
NCT00147745	white	20.0
NCT00148122	black or african american	0.0
NCT00148122	white	36.0
NCT00148317	black or african american	4.0
NCT00148317	white	26.0
NCT00148941	arabic/north africanrace	30.0
NCT00148941	blackrace	293.0
NCT00148941	white/caucasianrace	1920.0
NCT00149396	african american	1.0
NCT00149799	black or african american	2.0
NCT00149799	white	51.0
NCT00150345	white	146.0
NCT00150462	african american	3.0
NCT00150800	black	18.0
NCT00150800	white	361.0
NCT00153803	black or african american	13.0
NCT00153803	white	215.0
NCT00153816	black or african american	184.0
NCT00153816	white	1900.0
NCT00153920	non-white	5.0
NCT00153920	white	59.0
NCT00157014	black	7.0
NCT00157014	european descent/ white	97.0
NCT00158054	black/african american	29.0
NCT00158054	white	87.0
NCT00158249	black or african american	11.0
NCT00158249	white	8.0
NCT00158600	black or african american	0.0
NCT00158600	white	84.0
NCT00158743	black or african american	19.0
NCT00158743	white	17.0
NCT00158860	arabic/north africanrace	2.0
NCT00158860	blackrace	123.0
NCT00158860	white/caucasianrace	193.0
NCT00159432	black or african american	4.0
NCT00159432	white	15.0
NCT00160693	black or african american	19.0
NCT00160693	white	363.0
NCT00162097	black	9.0
NCT00162097	white	5.0
NCT00162123	black or african american	1.0
